code,name,city,country,timezone
CAY,Felix Eboue Airport,Matoury,GF,America/Cayenne
CAZ,Cobar,Cobar,AU,Australia/Sydney
CBA,Corner Bay,,US,America/Sitka
CBB,J Wilsterman Airport,Cochabamba,BO,America/La_Paz
CBC,Cherrabun,,AU,Australia/Perth
CBD,Car Nicobar,,IN,Asia/Kolkata
CBE,Greater Cumberland Regional,Wiley Ford,US,America/New_York
CBF,Municipal,Council Bluffs,US,America/Chicago
CBG,Cambridge Airport,Fulbourn,GB,Europe/London
CBH,Leger,Bechar,DZ,Africa/Algiers
CBI,Cape Barren Island,,AU,Australia/Hobart
CBJ,Cabo Rojo,Pedernales,DO,America/Santo_Domingo
CBK,Municipal,Colby,US,America/Chicago
CBL,Ciudad Bolivar,Ciudad Bolivar,VE,America/Caracas
CBM,Columbus AFB,,US,America/Chicago
CBN,Penggung,Weru,ID,Asia/Jakarta
CBO,Awang Airport,Awang,PH,Asia/Manila
CBP,Coimbra,Coimbra,PT,Europe/Lisbon
CBQ,Calabar Airport,Calabar,NG,Africa/Lagos
CBR,Canberra Airport,Forrest,AU,Australia/Canberra
CBS,Oro Negro,Cabimas,VE,America/Caracas
CBT,Catumbela Airport,Catumbela,AO,Africa/Luanda
CBU,Cottbus,,DE,Europe/Berlin
CBV,Coban,Coban,GT,America/Guatemala
CBW,Campo Mourao,Campo Mourao,BR,America/Sao_Paulo
CBX,Condobolin,,AU,Australia/Sydney
CBY,Canobie,,AU,Australia/Brisbane
CBZ,Cabin Creek,,US,America/Sitka
CCA,Chaffee AFB,,US,America/Chicago
CCB,Cable Airport,Claremont,US,America/Los_Angeles
CCC,Jardines del Rey Airport,Moron,CU,America/Havana
CCD,Century City,,US,America/Los_Angeles
CCE,Grand Case,,MF,America/Marigot
CCF,Carcassonne Airport,Pennautier,FR,Europe/Paris
CCG,Crane County Airport,Crane,US,America/Chicago
CCH,Chile Chico,Chile Chico,CL,America/Santiago
CCI,Concordia,Concordia,BR,America/Sao_Paulo
CCJ,Calicut International Airport,Ferokh,IN,Asia/Kolkata
CCK,Cocos Islands Airport,West Island,CC,Indian/Cocos
CCL,Chinchilla,,AU,Australia/Brisbane
CCM,Criciuma,Criciuma,BR,America/Sao_Paulo
CCN,Chakcharan,Fayroz Koh,AF,Asia/Kabul
CCO,Carimagua,,CO,America/Bogota
CCP,Carriel Sur Airport,Concepcion,CL,America/Santiago
CCQ,Cachoeira,Cachoeira,BR,America/Bahia
CCR,Buchanan Field,Pacheco,US,America/Los_Angeles
CCS,Simon Bolivar International Airport,Catia La Mar,VE,America/Caracas
CCT,Colonia Catriel,Picun Leufu,AR,America/Argentina/Salta
CCU,Netaji Subhas Chandra Bose Airport,Dam Dam,IN,Asia/Kolkata
CCV,Craig Cove,,VU,Pacific/Efate
CCW,Cowell,,AU,Australia/Adelaide
CCX,Caceres,,BR,America/Cuiaba
CCY,Municipal,Charles City,US,America/Chicago
CCZ,Chub Cay,,BS,America/Nassau
CDA,Cooinda,,AU,Australia/Darwin
CDB,Cold Bay Airport,,US,America/Nome
CDC,Cedar City Airport,Cedar City,US,America/Denver
CDD,Cauquira,,HN,America/Tegucigalpa
CDE,Caledonia,Corozal,PA,America/Panama
CDG,Charles de Gaulle Airport,,FR,Europe/Paris
CDH,Harrell Field,Camden,US,America/Chicago
CDI,Cachoeiro Itapemirim,Cachoeiro de Itapemirim,BR,America/Sao_Paulo
CDJ,Conceicao Do Araguaia,,BR,America/Belem
CDK,Lewis,Inglis,US,America/New_York
CDL,Candle,,US,America/Anchorage
CDN,Woodward Field,Camden,US,America/New_York
CDO,Cradock,Cradock,ZA,Africa/Johannesburg
CDP,Cuddapah,Cuddapah,IN,Asia/Kolkata
CDQ,Croydon,,AU,Australia/Brisbane
CDR,Chadron Airport,Chadron,US,America/Denver
CDS,Childress,Meade,US,America/Chicago
CDT,Castellon,Benlloch,ES,Europe/Madrid
CDU,Camden,,AU,Australia/Sydney
CDV,Mudhole Smith Airport,,US,America/Anchorage
CDW,Caldwell Wright,Caldwell,US,America/New_York
CDY,Cagayan De Sulu,Cagayan,PH,Asia/Manila
CDZ,Cadiz,Cadiz,ES,Europe/Madrid
CEA,Cessna Aircraft Field,,US,America/Chicago
CEB,Mactan-Cebu International Airport,Buagsong,PH,Asia/Manila
CEC,Del Norte County Regional Airport,Crescent City,US,America/Los_Angeles
CED,Ceduna Airport,,AU,Australia/Adelaide
CEE,Cherepovets Airport,Tonshalovo,RU,Europe/Moscow
CEF,Westover ARB/Metropolitan,North Chicopee,US,America/New_York
CEG,Hawarden Airport,Chester,GB,Europe/London
CEH,Chelinda,Livingstonia,MW,Africa/Blantyre
CEI,Chiang Rai International Airport,Chiang Rai,TH,Asia/Bangkok
CEK,Chelyabinsk International Airport,Potanino,RU,Asia/Yekaterinburg
CEL,Cape Eleuthera,,BS,America/Nassau
CEM,Central,,US,America/Anchorage
CEN,Ciudad Obregon Airport,Antonio Rosales,MX,America/Hermosillo
CEO,Waco Kungo,Mambajao,AO,Africa/Luanda
CEP,Concepcion,,BO,America/La_Paz
CEQ,Mandelieu,Mandelieu-la-Napoule,FR,Europe/Paris
CER,Maupertus,Fermanville,FR,Europe/Paris
CES,Cessnock,Cessnock,AU,Australia/Sydney
CET,Le Pontreau,Cholet,FR,Europe/Paris
CEU,Oconee County,Clemson,US,America/New_York
CEV,Mettle Field,Connersville,US,America/Indiana/Indianapolis
CEW,Bob Sikes,Crestview,US,America/Chicago
CEX,Chena Hot Springs,,US,America/Anchorage
CEY,Calloway County,Murray,US,America/Chicago
CEZ,Montezuma County Airport,Cortez,US,America/Denver
CFA,Coffee Point,,US,America/Anchorage
CFB,Cabo Frio International Airport,Cabo Frio,BR,America/Sao_Paulo
CFC,Cacador,Cacador,BR,America/Sao_Paulo
CFD,Coulter Field,Bryan,US,America/Chicago
CFE,Clermont-Ferrand Auvergne Airport,Aulnat,FR,Europe/Paris
CFF,Cafunfo,,AO,Africa/Luanda
CFG,Jaime Gonzalez Airport,Cienfuegos,CU,America/Havana
CFH,Clifton Hills,,AU,Australia/Adelaide
CFI,Camfield,,AU,Australia/Darwin
CFK,Chlef International Airport,Chlef,DZ,Africa/Algiers
CFM,Conklin (Leismer) Airport,,CA,America/Edmonton
CFN,Donegal Airport,Derrybeg,IE,Europe/Dublin
CFO,Confreza,,BR,America/Cuiaba
CFP,Carpentaria Downs,,AU,Australia/Brisbane
CFQ,Creston Valley Airport,Creston,CA,America/Creston
CFR,Carpiquet Airport,Carpiquet,FR,Europe/Paris
CFS,Coffs Harbour Airport,Coffs Harbour,AU,Australia/Sydney
CFT,Morenci,Clifton,US,America/Phoenix
CFU,Ioannis Kapodistrias Airport,Kerkyra,GR,Europe/Athens
CFV,Municipal,Coffeyville,US,America/Chicago
CGA,Craig SPB,,US,America/Sitka
CGB,Marechal Rondon International Airport,Varzea Grande,BR,America/Cuiaba
CGC,Cape Gloucester,,PG,Pacific/Port_Moresby
CGD,Changde Airport,Doumuhu,CN,Asia/Shanghai
CGE,Cambridge,Cambridge,US,America/New_York
CGF,Cuyahoga County,Highland Heights,US,America/New_York
CGG,Casiguran,Dinalongan,PH,Asia/Manila
CGH,Sao Paulo/Congonhas Airport,Diadema,BR,America/Sao_Paulo
CGI,Cape Girardeau Airport,Scott City,US,America/Chicago
CGJ,Chingola,Chingola,ZM,Africa/Lusaka
CGK,Soekarno-Hatta International Airport,Teluknaga,ID,Asia/Jakarta
CGL,Chagual Airport,,PE,America/Lima
CGM,Mambajao,San Vicente,PH,Asia/Manila
CGN,Cologne Bonn Airport,Wahn-Heide,DE,Europe/Berlin
CGO,Zhengzhou Xinzheng Airport,,CN,Asia/Shanghai
CGP,Shah Amanat International Airport,Chittagong,BD,Asia/Dhaka
CGQ,Changchun Longjia International Airport,Changchun,CN,Asia/Shanghai
CGR,Campo Grande International Airport,Campo Grande,BR,America/Campo_Grande
CGS,College Park,,US,America/New_York
CGT,Chinguitti,Chinguetti,MR,Africa/Nouakchott
CGV,Caiguna,Esperance,AU,Australia/Eucla
CGX,Merrill C Meigs,,US,America/Chicago
CGY,Laguindingan International Airport,Lumbia,PH,Asia/Manila
CGZ,Municipal,Casa Grande,US,America/Phoenix
CHA,Chattanooga Airport,East Ridge,US,America/New_York
CHB,Chilas,Chilas,PK,Asia/Karachi
CHC,Christchurch International Airport,Prebbleton,NZ,Pacific/Auckland
CHD,Mucuge Airport,,BR,America/Bahia
CHF,Jinhae,Changwon,KR,Asia/Seoul
CHG,Chaoyang Airport,Chaoyang,CN,Asia/Shanghai
CHH,Chachapoyas,Chachapoyas,PE,America/Lima
CHI,Chicago FSS,,US,America/Chicago
CHJ,Chipinge,Chipinge,ZW,Africa/Harare
CHK,Municipal,Chickasha,US,America/Chicago
CHL,Challis,Challis,US,America/Boise
CHM,Chimbote,Buenos Aires,PE,America/Lima
CHN,Jeonju,,KR,Asia/Seoul
CHO,Charlottesville Albemarle Airport,Hollymead,US,America/New_York
CHP,Circle Hot Springs,,US,America/Anchorage
CHQ,Chania International Airport,Mouzouras,GR,Europe/Athens
CHR,Chateauroux,Chateauroux,FR,Europe/Paris
CHS,Charleston International Airport,Hanahan,US,America/New_York
CHT,Karewa,Waitangi,NZ,Pacific/Chatham
CHU,Chuathbaluk Airport,,US,America/Anchorage
CHV,Chaves,Chaves,PT,Europe/Lisbon
CHW,Jiuhuang,,CN,Asia/Shanghai
CHX,Changuinola,Changuinola,PA,America/Panama
CHY,Choiseul Bay Airport,,SB,Pacific/Guadalcanal
CHZ,State,Klamath Falls,US,America/Los_Angeles
CIA,Ciampino-G. B. Pastine International Airport,Ciampino,IT,Europe/Rome
CIB,Ap In The Sky,,US,America/Los_Angeles
CIC,Chico Municipal Airport,Chico,US,America/Los_Angeles
CID,The Eastern Iowa Airport,Fairfax,US,America/Chicago
CIE,Collie,Collie,AU,Australia/Perth
CIF,Chifeng Airport,,CN,Asia/Shanghai
CIG,Craig-Moffat,Craig,US,America/Denver
CIH,Changzhi Airport,Daxinzhuang,CN,Asia/Shanghai
CII,Cildir,Choteau,TR,Europe/Istanbul
CIJ,E. Beltram Airport,Brasileia,BO,America/La_Paz
CIK,Chalkyitsik,,US,America/Anchorage
CIL,Melsing Creek,,US,America/Nome
CIM,Cimitarra,Puerto Parra,CO,America/Bogota
CIN,Carroll,Carroll,US,America/Chicago
CIO,MCAL Lopez,Concepcion,PY,America/Asuncion
CIP,Chipata,,ZM,Africa/Lusaka
CIQ,Chiquimula,Chiquimula,GT,America/Guatemala
CIR,Cairo,Cairo,US,America/Chicago
CIS,Canton Island,Atafu Village,KI,Pacific/Enderbury
CIT,Shymkent Airport,Shymkent,KZ,Asia/Almaty
CIU,Chippewa County Airport,,US,America/Detroit
CIV,Chomley,,US,America/Sitka
CIW,Canouan Island,,VC,America/St_Vincent
CIX,Cornel Ruiz Airport,Chiclayo,PE,America/Lima
CIY,Comiso Airport,Comiso,IT,Europe/Rome
CIZ,Coari,Coari,BR,America/Manaus
CJA,Cajamarca Airport,Cajamarca,PE,America/Lima
CJB,Coimbatore International Airport,Irugur,IN,Asia/Kolkata
CJC,El Loa Airport,Calama,CL,America/Santiago
CJD,Candilejas,Cartagena del Chaira,CO,America/Bogota
CJF,Coondewanna Airport,,AU,Australia/Perth
CJH,Chilko Lake,Hanceville,CA,America/Vancouver
CJJ,Cheongju Airport,Cheongju-si,KR,Asia/Seoul
CJL,Chitral,Chitral,PK,Asia/Karachi
CJM,Chumphon Airport,Pathio,TH,Asia/Bangkok
CJN,Gillespie Field,El Cajon,US,America/Los_Angeles
CJS,Abraham Gonzalez International Airport,Ciudad Juarez,MX,America/Ojinaga
CJT,Copalar,La Trinitaria,MX,America/Mexico_City
CJU,Jeju International Airport,,KR,Asia/Seoul
CJZ,Cajazeiras Airport,Cajazeiras,BR,America/Fortaleza
CKA,Kegelman Af,Cherokee,US,America/Chicago
CKB,Benedum Airport,Bridgeport,US,America/New_York
CKC,Cherkassy,Cherkasy,UA,Europe/Kiev
CKD,Crooked Creek,,US,America/Anchorage
CKE,Clear Lake,Clearlake,US,America/Los_Angeles
CKG,Chongqing Jiangbei International Airport,Shuangfengqiao,CN,Asia/Shanghai
CKH,Chokurdah Airport,Chokurdakh,RU,Asia/Srednekolymsk
CKI,Croker Island,,AU,Australia/Darwin
CKK,Cherokee,Salem,US,America/Chicago
CKL,Chkalovsky,Bakhchivandzhi,RU,Europe/Moscow
CKM,Fletcher Field,Clarksdale,US,America/Chicago
CKN,Municipal,Crookston,US,America/Chicago
CKO,Cornelio Procopio,Bandeirantes,BR,America/Sao_Paulo
CKR,Crane Island,,US,America/Los_Angeles
CKS,Carajas Airport,,BR,America/Belem
CKT,Sarakhs,Sarakhs,IR,Asia/Tehran
CKU,City,,US,America/Anchorage
CKV,Outlaw Field,Oak Grove,US,America/Chicago
CKW,Christmas Creek Mine,Wilkie,AU,Australia/Perth
CKX,Chicken,,US,America/Anchorage
CKY,Conakry Airport,Conakry,GN,Africa/Conakry
CKZ,Canakkale Airport,Canakkale,TR,Europe/Istanbul
CLA,Comilla,Comilla,BD,Asia/Dhaka
CLC,Metroport,,US,America/Chicago
CLD,McClellan-Palomar Airport,Lake San Marcos,US,America/Los_Angeles
CLE,Cleveland Hopkins International Airport,Brook Park,US,America/New_York
CLG,Coalinga,Coalinga,US,America/Los_Angeles
CLH,Coolah,Dunedoo,AU,Australia/Sydney
CLI,Clintonville,Clinton,US,America/Chicago
CLJ,Avram Iancu Cluj International Airport,Sannicoara,RO,Europe/Bucharest
CLK,Municipal,Clinton,US,America/Chicago
CLL,Easterwood Airport,College Station,US,America/Chicago
CLM,Fairchild International,Port Angeles,US,America/Los_Angeles
CLN,Carolina,Carolina,BR,America/Fortaleza
CLO,Alfonso B. Aragon Airport,Palmira,CO,America/Bogota
CLP,Clarks Point,,US,America/Anchorage
CLQ,Colima Airport,Cuauhtemoc,MX,America/Mexico_City
CLR,Calipatria,Calipatria,US,America/Los_Angeles
CLS,Centralia,Chehalis,US,America/Los_Angeles
CLT,Charlotte Douglas International Airport,,US,America/New_York
CLU,Columbus Municipal,Columbus,US,America/Indiana/Indianapolis
CLV,Caldas Novas,Caldas Novas,BR,America/Sao_Paulo
CLW,Executive,Clearwater,US,America/New_York
CLX,Clorinda,Asuncion,AR,America/Argentina/Cordoba
CLY,Sainte Catherine Airport,Calvi,FR,Europe/Paris
CLZ,Calabozo,Calabozo,VE,America/Caracas
CMA,Cunnamulla,,AU,Australia/Brisbane
CMB,Bandaranaike International Airport,Katunayake,LK,Asia/Colombo
CMC,Camocim,Camocim,BR,America/Fortaleza
CMD,Cootamundra,Cootamundra,AU,Australia/Sydney
CME,Ciudad Del Carmen Airport,Ciudad del Carmen,MX,America/Merida
CMF,Chambery,Voglans,FR,Europe/Paris
CMG,Corumba Internacional Airport,,BR,America/Campo_Grande
CMH,John Glenn Columbus International Airport,Gahanna,US,America/New_York
CMI,Willard University Airport,Savoy,US,America/Chicago
CMJ,Chi Mei,,TW,Asia/Taipei
CMK,Club Makokola,Monkey Bay,MW,Africa/Blantyre
CML,Camooweal,,AU,Australia/Brisbane
CMM,Carmelita,,GT,America/Guatemala
CMN,Mohamed V International Airport,Nouaseur,MA,Africa/Casablanca
CMO,Obbia,Hobyo,SO,Africa/Mogadishu
CMP,Campo Alegre,Campo Alegre,BR,America/Belem
CMQ,Clermont,,AU,Australia/Brisbane
CMR,Colmar-houssen,Colmar,FR,Europe/Paris
CMS,Scusciuban,Iskushuban,SO,Africa/Mogadishu
CMT,Cameta,Cameta,BR,America/Belem
CMU,Chimbu,,PG,Pacific/Port_Moresby
CMV,Coromandel,,NZ,Pacific/Auckland
CMW,Ign Agramonte International Airport,Camaguey,CU,America/Havana
CMX,Houghton County Airport,Dollar Bay,US,America/Detroit
CMY,Fort Mccoy,Sparta,US,America/Chicago
CMZ,Caia,Nsanje,MZ,Africa/Maputo
CNA,Cananea,Cananea,MX,America/Hermosillo
CNB,Coonamble,Coonamble,AU,Australia/Sydney
CNC,Coconut Island,,AU,Australia/Brisbane
CND,Kogalniceanu Airport,Mihail Kogalniceanu,RO,Europe/Bucharest
CNE,Canon City,Canon City,US,America/Denver
CNF,Tancredo Neves International Airport,Lagoa Santa,BR,America/Sao_Paulo
CNG,Parvaud,Chateaubernard,FR,Europe/Paris
CNH,Municipal,Claremont,US,America/New_York
CNI,Changhai,Changning,CN,Asia/Shanghai
CNJ,Cloncurry Airport,,AU,Australia/Brisbane
CNK,Blosser Municipal,Concordia,US,America/Chicago
CNL,Sindal,Sindal,DK,Europe/Copenhagen
CNM,Cavern City Air Terminal,Carlsbad,US,America/Denver
CNN,Kannur International Airport,Mattanur,IN,Asia/Kolkata
CNO,Chino,Chino,US,America/Los_Angeles
CNP,Neerlerit Inaat Airport,,GL,America/Scoresbysund
CNQ,Camba Punta Airport,Corrientes,AR,America/Argentina/Cordoba
CNR,Chanaral,,CL,America/Santiago
CNS,Cairns Airport,Cairns,AU,Australia/Brisbane
CNT,Charata,Charata,AR,America/Argentina/Cordoba
CNU,Martin Johnson,Chanute,US,America/Chicago
CNV,Canavieiras,Canavieiras,BR,America/Bahia
CNW,TSTC Waco Airport,Hillsboro,US,America/Chicago
CNX,Chiang Mai International Airport,Chiang Mai,TH,Asia/Bangkok
CNY,Canyonlands Field,Moab,US,America/Denver
CNZ,Cangamba,Luena,AO,Africa/Luanda
COA,Columbia,Columbia,US,America/Los_Angeles
COB,Coolibah,,AU,Australia/Darwin
COC,Concordia,Salto,AR,America/Argentina/Cordoba
COD,Yellowstone Regional Airport,Cody,US,America/Denver
COE,Coeur D'Alene,Coeur d'Alene,US,America/Los_Angeles
COF,Patrick AFB,Rockledge,US,America/New_York
COG,Mandinga,Condoto,CO,America/Bogota
COH,Cooch Behar,Koch Bihar,IN,Asia/Kolkata
COI,Merritt Island,Cocoa Beach,US,America/New_York
COJ,Coonabarabran,Coonabarabran,AU,Australia/Sydney
COK,Cochin International Airport,Angamali,IN,Asia/Kolkata
COL,Isle Of Coll,,GB,Europe/London
COM,Coleman,Coleman,US,America/Chicago
CON,Concord,Concord,US,America/New_York
COO,Cotonou Airport,Cotonou,BJ,Africa/Porto-Novo
COP,Cooperstown - Westville Airport,Cooperstown,US,America/New_York
COQ,Choibalsan,,MN,Asia/Choibalsan
COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,Villa Allende,AR,America/Argentina/Cordoba
COS,Colorado Springs Airport,Security-Widefield,US,America/Denver
COT,Cotulla,Cotulla,US,America/Chicago
COU,Columbia Regional Airport,Ashland,US,America/Chicago
COV,Covilha,Covilha,PT,Europe/Lisbon
COW,Coquimbo,Los Andes,CL,America/Santiago
COY,Coolawanyah,,AU,Australia/Perth
COZ,Constanza,Constanza,DO,America/Santo_Domingo
CPA,A. Tubman,Harper City,LR,Africa/Monrovia
CPB,Capurgana,,CO,America/Bogota
CPC,Chapelco Airport,Junin de los Andes,AR,America/Argentina/Salta
CPD,Coober Pedy Airport,,AU,Australia/Adelaide
CPE,Campeche International Airport,Campeche,MX,America/Merida
CPF,Cepu,Cepu,ID,Asia/Jakarta
CPG,Carmen De Patagones,,AR,America/Argentina/Buenos_Aires
CPH,Copenhagen Airport,Dragor,DK,Europe/Copenhagen
CPI,Cape Orford,,PG,Pacific/Port_Moresby
CPL,Chaparral,Chaparral,CO,America/Bogota
CPM,Compton,West Rancho Dominguez,US,America/Los_Angeles
CPN,Cape Rodney,,PG,Pacific/Port_Moresby
CPO,Chamonate Airport,Copiapo,CL,America/Santiago
CPP,Coposa Airport,,CL,America/Santiago
CPQ,International,Campinas,BR,America/Sao_Paulo
CPR,Casper/Natrona County International Airport,Mills,US,America/Denver
CPS,St. Louis Downtown Airport,Cahokia,US,America/Chicago
CPT,Cape Town International Airport,Lansdowne,ZA,Africa/Johannesburg
CPU,Cururupu,Cururupu,BR,America/Fortaleza
CPV,Joao Suassuna Airport,Campina Grande,BR,America/Fortaleza
CPX,Benjamin Rivera Noriega Airport,Culebra,PR,America/Puerto_Rico
CQA,Canarana Airport,,BR,America/Cuiaba
CQD,Shahre-kord,Shahrekord,IR,Asia/Tehran
CQF,Calais,Marck,FR,Europe/Paris
CQM,Ciudad Real Central,,ES,Europe/Madrid
CQP,Cape Flattery,Magnetic Island,AU,Australia/Brisbane
CQS,Costa Marques,,BR,America/Porto_Velho
CQT,Caquetania,,CO,America/Bogota
CQW,CHERAW MUNI/LYNCH BELLINGER FLD AIRPORT,,US,America/New_York
CRA,Craiova Airport,Carcea,RO,Europe/Bucharest
CRB,Collarenebri,,AU,Australia/Sydney
CRC,Cartago,Cartago,CO,America/Bogota
CRD,General E. Mosconi International Airport,Comodoro Rivadavia,AR,America/Argentina/Catamarca
CRE,Grand Strand Airport,North Myrtle Beach,US,America/New_York
CRF,Carnot,Carnot,CF,Africa/Bangui
CRG,Craig Municipal,,US,America/New_York
CRH,Cherribah,,AU,Australia/Brisbane
CRI,Crooked Island Airport,,BS,America/Nassau
CRJ,Coorabie,,AU,Australia/Adelaide
CRK,Diosdado Macapagal International (Clark International),Santol,PH,Asia/Manila
CRL,Charleroi Brussels South Airport,Charleroi,BE,Europe/Brussels
CRM,National Airport,Bobon,PH,Asia/Manila
CRO,Corcoran,Corcoran,US,America/Los_Angeles
CRP,Corpus Christi International Airport,,US,America/Chicago
CRQ,Caravelas,Nova Vicosa,BR,America/Bahia
CRR,Ceres,Hersilia,AR,America/Argentina/Cordoba
CRS,Corsicana,Corsicana,US,America/Chicago
CRT,Municipal,Crossett,US,America/Chicago
CRU,Carriacou Island,,GD,America/Grenada
CRV,Crotone,Isola di Capo Rizzuto,IT,Europe/Rome
CRW,Yeager Airport,Charleston,US,America/New_York
CRX,Roscoe Turner,Corinth,US,America/Chicago
CRY,Carlton Hill,,AU,Australia/Perth
CRZ,Turkmenabad,Turkmenabat,TM,Asia/Ashgabat
CSA,Isle Of Colonsay,,GB,Europe/London
CSB,Caransebes,Caransebes,RO,Europe/Bucharest
CSC,Canas,,CR,America/Costa_Rica
CSD,Cresswell Downs,,AU,Australia/Darwin
CSE,Crested Butte,Crested Butte,US,America/Denver
CSF,Creil,Creil,FR,Europe/Paris
CSG,Columbus Airport,,US,America/New_York
CSH,Solovky,Rabocheostrovsk,RU,Europe/Moscow
CSI,Casino,Casino,AU,Australia/Sydney
CSJ,Cape St Jacques,Phu Quy,VN,Asia/Ho_Chi_Minh
CSK,Cap Skirring,Oussouye,SN,Africa/Dakar
CSL,O Sullivan Army Air Field,,US,America/Los_Angeles
CSM,Sherman,Meeker,US,America/Chicago
CSN,Carson City,Carson City,US,America/Los_Angeles
CSO,Cochstedt,Cochstedt,DE,Europe/Berlin
CSP,Cape Spencer C G Heliport,,US,America/Juneau
CSQ,Municipal,Creston,US,America/Chicago
CSR,Casuarito,,CO,America/Bogota
CSS,Cassilandia,Cassilandia,BR,America/Campo_Grande
CST,Castaway,Lautoka,FJ,Pacific/Fiji
CSU,Santa Cruz Do Sul,Santa Cruz do Sul,BR,America/Sao_Paulo
CSV,Memorial,Crossville,US,America/Chicago
CSW,Colorado do Oeste,,BR,America/Porto_Velho
CSX,Changsha Huanghua Airport,,CN,Asia/Shanghai
CSY,Cheboksary Airport,Cheboksary,RU,Europe/Moscow
CSZ,Brigadier Hector Ruiz,Coronel Suarez,AR,America/Argentina/Buenos_Aires
CTA,Catania-Fontanarossa Airport,Catania,IT,Europe/Rome
CTB,Cut Bank,Cut Bank,US,America/Denver
CTC,Catamarca Airport,San Fernando del Valle de Catamarca,AR,America/Argentina/Catamarca
CTD,Chitre,Chitre,PA,America/Panama
CTE,Carti,,PA,America/Panama
CTF,Coatepeque Airport,Nuevo Progreso,GT,America/Guatemala
CTG,Rafael Nunez International Airport,Cartagena,CO,America/Bogota
CTH,Chestercounty Carlson,Coatesville,US,America/New_York
CTI,Cuito Cuanavale,,AO,Africa/Luanda
CTK,Canton,Canton,US,America/Chicago
CTL,Charleville Airport,,AU,Australia/Brisbane
CTM,Chetumal Airport,Chetumal,MX,America/Cancun
CTN,Cooktown Airport,,AU,Australia/Brisbane
CTO,Peconic River,Bealeton,US,America/New_York
CTP,Carutapera,Carutapera,BR,America/Fortaleza
CTQ,Do Palmar,Santa Vitoria,BR,America/Sao_Paulo
CTR,Cattle Creek,,AU,Australia/Darwin
CTS,New Chitose Airport,Chitose,JP,Asia/Tokyo
CTT,Le Castellet,Le Castellet,FR,Europe/Paris
CTU,Chengdu Shuangliu International Airport,Dongsheng,CN,Asia/Shanghai
CTV,Catoca Airport,Saurimo,AO,Africa/Luanda
CTW,Cottonwood,Cottonwood,US,America/Phoenix
CTX,Cortland,Cortland,US,America/New_York
CTY,Cross City,Cross City,US,America/New_York
CTZ,Sampson County,Clinton,US,America/New_York
CUA,Ciudad Constitución Airport,,MX,America/Mazatlan
CUB,Owens Field,,US,America/New_York
CUC,Camilo Daza International Airport,Cucuta,CO,America/Bogota
CUD,Caloundra,Dicky Beach,AU,Australia/Brisbane
CUE,Mariscal Lamar International Airport,Cuenca,EC,America/Guayaquil
CUF,Levaldigi Airport,Centallo,IT,Europe/Rome
CUG,Cudal,,AU,Australia/Sydney
CUH,Municipal,Cushing,US,America/Chicago
CUI,Currillo,Mani,CO,America/Bogota
CUJ,Culion,Bulalacao,PH,Asia/Manila
CUK,Caye Caulker,,BZ,America/Belize
CUL,Culiacan International Airport,El Diez,MX,America/Mazatlan
CUM,Cumana,Cumana,VE,America/Caracas
CUN,Cancun International Airport,Alfredo V. Bonfil,MX,America/Cancun
CUO,Caruru,,CO,America/Bogota
CUP,Carupano,Carupano,VE,America/Caracas
CUQ,Coen,,AU,Australia/Brisbane
CUR,Curacao International Airport,Sint Michiel Liber,CW,America/Curacao
CUS,Municipal,Columbus,US,America/Denver
CUT,Cutral,Plaza Huincul,AR,America/Argentina/Salta
CUU,Gen Fierro Villalobos Airport,Ninguno [CERESO],MX,America/Chihuahua
CUV,Casigua,Dabajuro,VE,America/Caracas
CUW,Cube Cove,,US,America/Juneau
CUX,Cuddihy Field,,US,America/Chicago
CUY,Cue,,AU,Australia/Perth
CUZ,Alejandro Velasco Astete International Airport,Cusco,PE,America/Lima
CVA,Civic Ar Heli,,US,America/New_York
CVB,Chungribu,,PG,Pacific/Port_Moresby
CVC,Cleve,Cleve,AU,Australia/Adelaide
CVE,Covenas,San Antero,CO,America/Bogota
CVF,Courchevel,Courchevel,FR,Europe/Paris
CVG,Cincinnati/Northern Kentucky Airport,Hebron,US,America/New_York
CVH,Caviahue,,AR,America/Argentina/Salta
CVI,Caleta Olivia,Caleta Olivia,AR,America/Argentina/Rio_Gallegos
CVJ,General Mariano Matamoros Airport,Cuernavaca,MX,America/Mexico_City
CVL,Cape Vogel,,PG,Pacific/Port_Moresby
CVM,Ciudad Victoria Airport,Ciudad Victoria,MX,America/Monterrey
CVN,Clovis Municipal Airport,Texico,US,America/Denver
CVO,Albany,Albany,US,America/Los_Angeles
CVQ,Carnarvon Airport,,AU,Australia/Perth
CVR,Hughes,Marina del Rey,US,America/Los_Angeles
CVS,Cannon AFB,Cannon Air Force Base,US,America/Denver
CVT,Coventry Airport,Ryton on Dunsmore,GB,Europe/London
CVU,Corvo Island (Azores) Airport,,PT,Atlantic/Azores
CWA,Central Wisconsin Airport,Mosinee,US,America/Chicago
CWB,Afonso Pena International Airport,Sao Jose dos Pinhais,BR,America/Sao_Paulo
CWC,Chernivtsi International Airport,Chernivtsi,UA,Europe/Kiev
CWF,Chennault International.,Moss Bluff,US,America/Chicago
CWG,Callaway Gardens,,US,America/New_York
CWI,Clinton,Camanche,US,America/Chicago
CWJ,Cangyuan Washan Airport,Mengdong,CN,Asia/Chongqing
CWK,Chitrakoot Airport,,IN,Asia/Kolkata
