pilotID,fid,role
568,964,Captain
379,2817,First Officer
698,1571,First Officer
867,3592,Captain
585,3479,First Officer
18,1752,Captain
222,4148,Captain
7,103,Captain
51,3409,First Officer
196,2753,Captain
230,1379,First Officer
903,3587,Captain
927,3737,Captain
781,2421,Captain
297,538,Captain
830,2542,Captain
901,3925,Captain
681,108,Captain
554,4550,Captain
532,4626,Captain
520,1937,Captain
825,1098,First Officer
641,3221,First Officer
105,3040,Captain
711,806,Captain
143,4915,Captain
760,1324,Captain
715,2439,Captain
347,2300,First Officer
355,96,Captain
301,4484,Captain
654,4411,First Officer
795,1420,Captain
249,1716,Captain
955,1202,Captain
466,3897,First Officer
207,2867,Captain
268,663,First Officer
220,4144,First Officer
876,222,First Officer
656,2512,First Officer
474,1700,First Officer
469,4073,First Officer
224,42,First Officer
101,3480,First Officer
566,776,Captain
897,3235,First Officer
708,1466,Captain
884,2674,Captain
89,2315,First Officer
641,3986,Captain
882,2440,Captain
728,1936,First Officer
13,1913,Captain
402,2788,First Officer
206,3771,Captain
808,2918,First Officer
688,4741,First Officer
396,889,Captain
311,3963,Captain
281,409,Captain
199,1511,Captain
639,2690,First Officer
562,3247,Captain
132,781,First Officer
690,3669,Captain
638,350,Captain
267,3832,First Officer
596,491,Captain
80,4857,First Officer
105,2815,First Officer
411,2440,First Officer
605,1850,First Officer
740,782,Captain
522,951,Captain
190,3167,First Officer
147,1942,Captain
47,3647,Captain
263,4847,First Officer
999,3546,First Officer
177,3267,First Officer
244,3543,First Officer
507,1986,Captain
222,638,Captain
141,1356,First Officer
881,2116,First Officer
319,950,First Officer
580,55,Captain
180,3419,First Officer
948,285,Captain
380,1095,First Officer
321,2313,Captain
774,604,First Officer
242,3658,First Officer
928,2772,Captain
66,115,First Officer
621,2633,Captain
888,4841,First Officer
611,575,Captain
120,2972,Captain
195,552,Captain
108,2727,First Officer
491,1047,First Officer
71,2198,First Officer
108,867,First Officer
327,2574,First Officer
934,4040,First Officer
287,1785,Captain
326,2395,Captain
229,3959,First Officer
386,4762,Captain
447,4197,First Officer
259,3708,First Officer
797,1176,Captain
961,1803,First Officer
455,2671,First Officer
760,2337,First Officer
791,4744,Captain
830,4498,First Officer
615,1060,Captain
467,2376,Captain
286,893,Captain
280,1365,First Officer
172,1006,Captain
372,4248,Captain
750,842,Captain
860,4705,First Officer
642,638,First Officer
353,2735,First Officer
548,1043,Captain
408,4026,Captain
624,1056,Captain
593,1856,Captain
83,2377,First Officer
471,2064,Captain
83,4129,Captain
324,3000,Captain
398,2903,First Officer
78,3689,First Officer
982,2427,First Officer
396,4768,Captain
443,3274,Captain
710,488,Captain
6,533,Captain
867,2461,First Officer
722,2566,Captain
646,4592,First Officer
379,1242,Captain
531,3966,First Officer
988,1345,Captain
483,917,First Officer
59,119,Captain
452,4404,Captain
282,4397,First Officer
695,2291,First Officer
140,3531,First Officer
252,3924,First Officer
146,1301,First Officer
687,3030,Captain
938,3843,Captain
648,1146,Captain
206,502,First Officer
318,4548,First Officer
86,2701,Captain
853,3133,Captain
380,2260,First Officer
663,4558,First Officer
957,2062,Captain
596,2220,First Officer
527,3209,Captain
635,1101,First Officer
573,1355,Captain
759,2582,Captain
14,3105,Captain
792,585,Captain
215,238,Captain
917,2222,Captain
621,1170,First Officer
925,3494,Captain
699,4937,First Officer
427,2468,Captain
82,4179,First Officer
761,2824,Captain
131,832,Captain
81,1157,Captain
481,2327,Captain
400,4490,First Officer
45,4336,First Officer
19,902,Captain
69,2607,Captain
962,856,First Officer
552,534,First Officer
361,2534,Captain
373,278,Captain
36,4905,Captain
838,1592,First Officer
665,467,First Officer
711,1570,Captain
983,1775,First Officer
127,4077,First Officer
150,2843,First Officer
167,1981,First Officer
21,3303,First Officer
44,1580,First Officer
396,4658,First Officer
610,871,Captain
768,1231,Captain
43,3594,Captain
714,920,First Officer
593,4760,First Officer
910,4005,First Officer
647,2427,First Officer
952,4633,First Officer
68,4457,Captain
13,1936,First Officer
874,1624,Captain
863,622,First Officer
557,4558,First Officer
884,3282,First Officer
547,1978,Captain
367,3860,Captain
465,896,Captain
69,2137,Captain
647,1234,Captain
181,1319,Captain
426,522,Captain
81,4588,Captain
94,2368,First Officer
702,1853,First Officer
789,658,First Officer
873,399,First Officer
632,3285,First Officer
98,1353,Captain
469,2847,Captain
413,4430,First Officer
998,4783,Captain
397,4689,Captain
787,4082,Captain
142,2279,Captain
631,2598,Captain
472,3608,First Officer
139,274,First Officer
284,2375,Captain
754,1094,First Officer
127,821,Captain
495,3503,Captain
973,1013,Captain
511,3657,First Officer
328,383,Captain
528,1742,First Officer
732,2408,Captain
21,943,First Officer
593,2712,Captain
252,4469,Captain
453,3452,First Officer
196,2090,First Officer
896,2183,Captain
40,963,Captain
902,1103,Captain
972,3054,Captain
433,2053,First Officer
402,4993,Captain
788,1153,First Officer
782,1295,Captain
872,419,Captain
438,1646,Captain
916,3075,First Officer
518,2923,Captain
705,2183,First Officer
179,4288,First Officer
12,2635,First Officer
208,3369,First Officer
270,4311,First Officer
33,4105,Captain
362,2071,First Officer
626,2360,Captain
773,4255,Captain
76,4197,First Officer
401,3716,Captain
388,1309,First Officer
355,3452,First Officer
485,4960,First Officer
594,3537,Captain
478,4913,Captain
831,3239,Captain
766,2701,First Officer
357,3015,Captain
369,4442,First Officer
957,698,First Officer
736,782,Captain
465,3768,First Officer
48,114,Captain
972,854,First Officer
830,3609,Captain
87,422,Captain
152,2051,Captain
287,4182,First Officer
585,3679,Captain
172,2442,First Officer
790,3421,First Officer
337,1696,First Officer
640,1869,First Officer
27,2584,First Officer
28,3262,Captain
35,1793,First Officer
53,89,First Officer
919,3696,First Officer
143,3049,First Officer
111,4123,Captain
369,3981,First Officer
663,1172,Captain
705,3681,First Officer
500,2586,First Officer
144,1239,Captain
667,297,Captain
997,4831,First Officer
527,4704,First Officer
702,2492,Captain
270,1577,First Officer
399,837,Captain
546,2002,Captain
776,2581,First Officer
720,2537,First Officer
554,2386,First Officer
891,3056,Captain
130,3744,Captain
661,769,First Officer
299,2700,First Officer
934,2735,First Officer
888,1562,First Officer
170,794,Captain
198,4390,First Officer
187,344,Captain
727,2994,First Officer
840,1963,Captain
993,3776,Captain
38,3918,First Officer
959,685,First Officer
404,1425,First Officer
700,1953,First Officer
372,4411,Captain
544,1104,First Officer
20,4874,Captain
15,3541,First Officer
488,394,First Officer
175,1918,Captain
2,4031,Captain
259,2095,Captain
578,1308,First Officer
669,3323,Captain
500,1654,First Officer
516,496,First Officer
516,3735,First Officer
477,947,Captain
809,2464,Captain
792,1128,First Officer
76,2766,First Officer
726,1699,Captain
224,2157,First Officer
522,4584,First Officer
699,1200,First Officer
410,1651,Captain
672,3563,First Officer
707,2625,First Officer
846,4648,First Officer
625,3789,Captain
836,1651,First Officer
585,3522,Captain
254,3855,First Officer
641,2647,First Officer
10,78,Captain
429,921,First Officer
306,2245,First Officer
197,2124,Captain
300,2908,First Officer
582,3454,First Officer
994,4316,First Officer
189,3680,First Officer
502,3409,First Officer
50,4019,First Officer
448,3342,First Officer
671,1384,Captain
686,1832,Captain
97,2371,Captain
868,408,First Officer
435,2541,First Officer
864,322,Captain
412,78,First Officer
295,1877,First Officer
173,93,First Officer
209,1788,Captain
483,383,Captain
928,4938,Captain
776,1341,Captain
701,2365,First Officer
522,2019,Captain
775,1158,Captain
563,3032,Captain
522,1035,First Officer
628,389,First Officer
327,4294,First Officer
400,1335,Captain
595,4321,First Officer
375,3967,First Officer
386,4017,First Officer
678,2649,First Officer
315,1409,Captain
558,1672,Captain
901,4141,First Officer
936,4832,Captain
581,4676,First Officer
930,4230,First Officer
155,4088,First Officer
322,3204,Captain
413,1580,First Officer
164,2917,Captain
737,4755,First Officer
152,969,First Officer
203,4612,Captain
912,3698,Captain
852,3788,Captain
605,3479,Captain
863,4081,First Officer
118,1919,Captain
874,330,First Officer
299,3323,Captain
206,809,First Officer
398,2321,First Officer
160,606,Captain
577,1815,First Officer
900,4753,First Officer
479,3731,First Officer
295,4024,Captain
90,4149,First Officer
539,3787,First Officer
351,4920,Captain
537,420,First Officer
349,3303,Captain
139,3104,First Officer
221,1309,Captain
595,3162,First Officer
756,487,Captain
335,1091,Captain
101,743,First Officer
448,1248,First Officer
654,1205,Captain
337,1292,First Officer
58,1517,First Officer
769,4077,Captain
979,2907,First Officer
234,4653,Captain
546,1947,Captain
794,1141,Captain
680,3054,First Officer
34,4677,First Officer
52,1312,First Officer
844,2590,First Officer
715,3154,Captain
641,1600,First Officer
531,1042,Captain
644,4004,Captain
273,413,Captain
139,61,Captain
538,1950,Captain
807,3909,Captain
895,4442,First Officer
481,4212,First Officer
138,4747,First Officer
603,4269,First Officer
736,1181,Captain
885,49,First Officer
603,127,First Officer
477,4796,Captain
79,3723,Captain
900,4074,Captain
246,4228,First Officer
401,4958,Captain
532,1096,First Officer
577,859,Captain
651,4616,Captain
500,4995,First Officer
613,827,Captain
758,1873,Captain
486,4407,First Officer
351,3886,First Officer
339,749,First Officer
564,2630,Captain
191,1952,First Officer
69,1154,First Officer
171,2735,First Officer
415,3732,First Officer
918,843,First Officer
979,1568,First Officer
160,2129,Captain
561,3027,First Officer
17,1187,First Officer
602,4113,Captain
200,4392,First Officer
90,1493,Captain
66,846,First Officer
592,4970,First Officer
731,894,First Officer
708,4620,First Officer
67,1355,Captain
889,2164,Captain
538,4494,First Officer
587,3818,First Officer
406,2961,First Officer
134,2064,Captain
10,3610,First Officer
866,460,Captain
41,1571,First Officer
268,3679,Captain
378,4675,Captain
30,3325,Captain
707,460,Captain
37,780,First Officer
378,548,Captain
195,1369,First Officer
710,4602,First Officer
703,3465,Captain
401,4692,Captain
628,215,Captain
866,2849,Captain
871,1014,Captain
775,4372,First Officer
522,3371,First Officer
191,4720,First Officer
247,438,First Officer
804,1185,Captain
181,720,First Officer
703,4767,Captain
997,201,First Officer
669,4650,Captain
244,2389,First Officer
166,1184,Captain
729,4580,Captain
360,4808,Captain
451,2458,First Officer
526,1327,Captain
488,4451,Captain
128,4744,Captain
620,2899,Captain
696,1762,Captain
882,2334,Captain
863,1815,Captain
616,4883,First Officer
811,2256,First Officer
810,1654,Captain
804,2294,First Officer
621,3734,Captain
121,1445,Captain
165,1264,Captain
961,1021,First Officer
479,1770,Captain
518,2260,First Officer
285,1100,First Officer
145,727,First Officer
700,2330,Captain
517,1344,First Officer
406,3337,First Officer
732,2472,Captain
130,4746,First Officer
318,1502,First Officer
119,1306,Captain
834,3750,Captain
528,3033,First Officer
461,3394,First Officer
813,2215,First Officer
693,3141,First Officer
723,4294,Captain
47,766,First Officer
519,4799,Captain
454,3680,First Officer
130,3563,Captain
591,1404,First Officer
872,3028,First Officer
736,2611,Captain
723,2143,Captain
966,4549,First Officer
748,2471,Captain
366,4314,Captain
97,3850,Captain
313,4856,First Officer
710,711,First Officer
73,2211,Captain
224,3584,Captain
650,4549,Captain
765,4271,First Officer
472,2077,First Officer
780,4811,Captain
773,104,Captain
586,273,First Officer
211,4404,Captain
524,2381,First Officer
191,3243,Captain
215,2203,First Officer
980,1904,First Officer
524,4066,Captain
674,3467,First Officer
67,3270,First Officer
713,1077,First Officer
887,3728,Captain
361,4329,First Officer
420,337,Captain
9,2136,Captain
210,3399,Captain
764,257,Captain
570,1170,Captain
509,3310,Captain
18,1460,First Officer
700,580,First Officer
694,1733,Captain
997,291,First Officer
357,2838,Captain
513,3390,Captain
771,1992,Captain
259,1900,First Officer
150,4779,Captain
104,2166,First Officer
336,2971,First Officer
853,1625,First Officer
402,1469,First Officer
36,4029,First Officer
740,1197,First Officer
831,373,First Officer
820,4294,First Officer
580,1328,Captain
334,4013,First Officer
941,4032,First Officer
458,3111,Captain
138,4499,Captain
282,4537,Captain
488,4104,Captain
816,3490,Captain
843,3014,Captain
675,3632,First Officer
299,194,First Officer
587,4837,Captain
618,4313,Captain
604,548,Captain
137,748,Captain
271,620,Captain
52,1262,First Officer
640,1060,Captain
408,4501,First Officer
661,3752,First Officer
142,552,Captain
393,1141,First Officer
266,1303,Captain
695,4294,First Officer
795,4780,First Officer
94,560,Captain
125,1165,First Officer
111,606,Captain
364,4122,Captain
326,1312,First Officer
908,578,First Officer
210,1425,Captain
11,3210,Captain
118,4892,First Officer
772,4968,First Officer
712,4484,First Officer
782,2849,Captain
33,3086,Captain
702,2294,First Officer
128,1109,Captain
176,2959,First Officer
798,1019,Captain
171,4371,First Officer
24,814,First Officer
486,970,First Officer
172,2890,Captain
859,2972,First Officer
785,3132,Captain
290,1818,First Officer
676,3951,Captain
270,3467,First Officer
215,2257,First Officer
331,704,Captain
133,761,First Officer
202,3806,First Officer
159,1261,First Officer
633,4265,Captain
810,2246,Captain
815,1629,Captain
574,1466,Captain
40,3511,First Officer
861,1804,Captain
870,3241,First Officer
437,1759,Captain
788,2821,Captain
313,2193,First Officer
758,4301,Captain
933,2239,First Officer
498,1387,First Officer
582,1160,Captain
455,1624,First Officer
653,4558,Captain
502,4915,Captain
207,4304,Captain
777,4957,Captain
101,4555,First Officer
154,2897,Captain
101,1973,First Officer
756,4512,Captain
318,3332,First Officer
451,3122,Captain
486,2369,Captain
896,3485,First Officer
943,2772,First Officer
236,4092,Captain
806,3710,First Officer
134,1311,Captain
829,2843,First Officer
876,1180,First Officer
518,2796,First Officer
151,3899,Captain
93,4992,Captain
160,2637,Captain
599,3207,First Officer
712,1533,Captain
778,98,Captain
130,4175,Captain
896,2957,Captain
455,1906,Captain
939,3699,First Officer
507,3225,Captain
681,798,Captain
80,441,First Officer
394,4346,Captain
64,262,Captain
23,4760,First Officer
353,2408,Captain
78,1695,Captain
488,2945,First Officer
19,1851,Captain
106,2082,Captain
624,4897,Captain
926,639,Captain
426,3322,Captain
869,2496,First Officer
984,2776,Captain
550,343,First Officer
445,3323,First Officer
961,4094,Captain
44,217,Captain
373,1409,First Officer
324,4292,First Officer
906,1887,First Officer
784,2242,First Officer
140,2304,Captain
842,715,Captain
721,4297,Captain
103,903,First Officer
962,2506,Captain
459,3764,Captain
304,532,Captain
691,2017,First Officer
262,1368,Captain
923,4634,First Officer
493,1101,First Officer
41,4526,Captain
242,649,First Officer
599,1141,Captain
357,1160,Captain
409,3542,Captain
234,4706,Captain
936,1801,First Officer
1000,1055,Captain
739,2306,First Officer
531,2924,First Officer
673,3320,First Officer
116,3622,First Officer
937,4311,Captain
496,4080,First Officer
825,3429,First Officer
784,4695,First Officer
244,3208,Captain
395,1460,First Officer
34,1856,Captain
82,2077,First Officer
964,1490,First Officer
574,108,First Officer
339,4935,Captain
998,1426,Captain
319,3861,Captain
825,4297,Captain
604,3769,First Officer
800,1625,First Officer
439,978,Captain
185,4370,Captain
284,2239,First Officer
372,1032,First Officer
350,2999,First Officer
932,1063,Captain
802,1382,Captain
503,427,First Officer
450,4997,First Officer
200,2640,Captain
549,2364,First Officer
724,1865,First Officer
116,1268,Captain
934,2175,Captain
174,223,Captain
645,1206,Captain
284,1101,First Officer
376,4140,Captain
669,2015,First Officer
159,4221,First Officer
398,3537,First Officer
558,4736,Captain
997,4433,First Officer
195,2574,Captain
400,3611,Captain
893,229,First Officer
484,794,Captain
362,3663,Captain
777,1048,Captain
312,3326,Captain
574,4560,First Officer
597,1358,Captain
305,3663,First Officer
884,3797,Captain
123,2626,Captain
697,332,First Officer
611,1364,Captain
332,3928,First Officer
576,3542,First Officer
279,303,First Officer
380,400,First Officer
822,4627,Captain
981,2312,Captain
519,2674,First Officer
905,3838,First Officer
9,2675,Captain
932,1993,Captain
794,1727,Captain
217,4461,Captain
684,1425,First Officer
613,1967,First Officer
58,2145,Captain
675,4954,First Officer
83,4022,Captain
126,4261,First Officer
519,2979,Captain
61,960,Captain
268,4364,First Officer
613,4293,Captain
952,639,First Officer
863,2420,First Officer
888,2124,First Officer
981,4550,Captain
586,259,Captain
257,1280,First Officer
16,4702,First Officer
899,3577,First Officer
241,4593,First Officer
13,1684,Captain
608,2015,Captain
1,745,First Officer
661,2365,First Officer
820,4201,Captain
183,266,Captain
291,2326,Captain
633,2346,First Officer
319,4617,First Officer
331,1405,First Officer
916,96,Captain
503,3700,First Officer
164,2181,First Officer
698,4821,Captain
69,635,Captain
767,3890,First Officer
343,3033,Captain
717,1908,Captain
824,3841,Captain
420,307,First Officer
340,4432,Captain
724,2402,Captain
274,850,Captain
142,4451,Captain
602,1614,Captain
900,178,Captain
249,4111,First Officer
136,1635,Captain
522,3376,First Officer
597,4816,First Officer
244,159,First Officer
111,3773,Captain
871,933,First Officer
816,1448,First Officer
99,778,Captain
156,360,First Officer
615,2746,First Officer
368,561,First Officer
30,1202,First Officer
129,1118,First Officer
108,3837,First Officer
379,4392,First Officer
109,4046,Captain
939,1350,First Officer
548,439,First Officer
397,155,First Officer
617,1321,Captain
699,4840,Captain
163,4641,Captain
893,2504,First Officer
627,3647,First Officer
283,2247,First Officer
134,1060,Captain
785,3898,First Officer
70,4098,Captain
775,4571,Captain
720,1862,First Officer
858,2320,First Officer
984,2612,Captain
99,662,First Officer
253,3419,First Officer
517,4812,First Officer
901,4290,First Officer
620,480,Captain
670,2483,First Officer
556,2520,Captain
159,1871,First Officer
14,458,Captain
531,1290,First Officer
790,3347,First Officer
28,4199,First Officer
428,2721,First Officer
510,4,Captain
876,1719,Captain
37,3285,Captain
769,2212,First Officer
650,745,Captain
838,149,First Officer
610,2865,First Officer
622,2368,First Officer
545,2750,First Officer
883,898,Captain
192,3782,Captain
334,3678,Captain
697,1722,Captain
777,4041,First Officer
837,3967,Captain
928,3153,Captain
92,2949,First Officer
103,3612,Captain
494,881,Captain
661,4174,Captain
175,442,Captain
593,2183,First Officer
752,1087,First Officer
652,3848,Captain
182,2193,First Officer
144,2227,Captain
946,4539,Captain
958,1066,Captain
388,4629,First Officer
436,4847,Captain
576,2737,First Officer
449,419,Captain
341,3986,First Officer
870,2854,Captain
596,4683,Captain
722,2296,First Officer
772,2518,First Officer
825,4280,Captain
500,352,Captain
341,596,First Officer
387,4267,First Officer
187,432,Captain
173,3545,Captain
165,348,First Officer
440,4635,Captain
97,3059,Captain
803,3523,Captain
447,796,Captain
232,3988,First Officer
355,4476,First Officer
69,1046,First Officer
655,591,First Officer
788,1551,Captain
678,3307,Captain
638,1438,First Officer
399,245,Captain
659,1208,First Officer
583,2326,First Officer
40,4452,Captain
368,3029,First Officer
173,4639,Captain
922,2819,Captain
440,3238,First Officer
119,2440,Captain
376,268,Captain
918,1599,First Officer
10,250,Captain
315,1300,Captain
517,2602,Captain
379,4650,Captain
387,276,Captain
936,2668,Captain
500,233,First Officer
605,4538,Captain
714,3389,Captain
205,4577,Captain
610,4617,First Officer
77,4645,Captain
81,3068,Captain
92,872,First Officer
154,844,Captain
922,1135,First Officer
798,408,Captain
910,1347,Captain
204,3185,Captain
756,1321,Captain
501,4469,First Officer
896,4227,First Officer
246,644,Captain
813,689,First Officer
762,4368,First Officer
518,2858,First Officer
917,3479,First Officer
168,2484,Captain
141,3002,Captain
944,1495,Captain
322,979,Captain
905,2268,First Officer
36,1601,First Officer
432,1502,Captain
809,2863,Captain
336,4132,First Officer
411,1205,Captain
36,2973,Captain
604,2459,Captain
268,2389,Captain
339,3205,Captain
358,1098,First Officer
515,2761,First Officer
3,1750,First Officer
191,3577,First Officer
663,1195,First Officer
193,2660,First Officer
69,946,Captain
164,3088,Captain
718,4295,Captain
39,4789,Captain
188,4344,Captain
263,2713,First Officer
323,1258,First Officer
431,3819,Captain
580,4387,Captain
669,2725,First Officer
761,3742,Captain
169,752,First Officer
876,563,First Officer
261,2398,Captain
833,1931,First Officer
395,4353,First Officer
618,3929,Captain
434,2947,First Officer
745,4352,First Officer
873,2940,First Officer
146,4887,Captain
838,297,Captain
263,3721,Captain
987,4869,First Officer
744,4903,First Officer
788,84,Captain
967,3468,Captain
440,4036,Captain
901,3423,First Officer
735,3030,Captain
63,4490,First Officer
718,3456,Captain
911,468,First Officer
828,4870,First Officer
849,3740,First Officer
200,1673,First Officer
198,795,Captain
419,4817,Captain
37,1630,First Officer
951,3182,Captain
85,4168,Captain
132,1870,First Officer
466,4963,Captain
118,535,First Officer
58,2815,First Officer
395,1670,Captain
905,1570,Captain
576,1205,Captain
594,1042,Captain
984,3903,Captain
1000,4159,Captain
898,4289,Captain
214,508,Captain
317,2272,First Officer
70,101,Captain
564,2806,First Officer
10,29,First Officer
545,281,Captain
504,3493,Captain
425,3840,Captain
364,3976,First Officer
167,1187,Captain
413,2039,Captain
877,3634,First Officer
190,4327,First Officer
560,1491,First Officer
912,3093,Captain
230,4565,Captain
408,411,First Officer
944,4670,First Officer
521,1213,First Officer
413,4121,First Officer
285,2895,First Officer
281,3927,Captain
804,517,Captain
162,3552,Captain
745,338,First Officer
321,4118,Captain
510,1180,First Officer
361,4278,First Officer
492,3427,Captain
841,1683,Captain
685,2445,Captain
603,995,Captain
946,3767,Captain
317,2756,First Officer
957,2583,Captain
468,2574,First Officer
697,4489,Captain
415,2666,First Officer
240,1352,Captain
796,3685,Captain
813,2740,First Officer
498,2335,Captain
589,3473,First Officer
883,3650,First Officer
24,2648,First Officer
991,4866,Captain
405,4311,First Officer
237,3951,Captain
172,831,First Officer
401,1189,Captain
477,4280,Captain
807,863,First Officer
884,834,Captain
475,86,Captain
854,2991,First Officer
809,3595,First Officer
893,4230,Captain
294,4553,Captain
44,1696,Captain
323,3357,Captain
344,620,Captain
711,618,Captain
285,282,Captain
980,4976,First Officer
593,3419,First Officer
332,3253,Captain
827,69,First Officer
863,3706,Captain
230,2203,Captain
177,2190,Captain
8,2626,First Officer
414,3078,First Officer
294,2079,Captain
837,754,First Officer
306,2980,Captain
185,3034,Captain
576,1237,First Officer
310,4805,First Officer
679,4624,Captain
890,4242,Captain
634,3895,First Officer
621,3444,First Officer
330,1601,Captain
517,4239,First Officer
654,4704,Captain
336,2995,First Officer
111,4122,First Officer
317,14,Captain
483,2160,First Officer
679,381,First Officer
14,622,Captain
34,3083,Captain
634,2665,Captain
687,1656,Captain
999,4117,First Officer
235,350,First Officer
67,3543,First Officer
107,200,First Officer
638,98,First Officer
450,2044,First Officer
337,3008,First Officer
526,2913,Captain
166,3097,Captain
942,4240,Captain
900,4712,First Officer
599,1271,First Officer
355,2321,Captain
927,114,First Officer
307,4632,First Officer
933,2714,Captain
740,3694,First Officer
593,4149,Captain
484,604,Captain
636,2224,Captain
340,3261,Captain
38,3093,Captain
278,2806,Captain
464,2685,Captain
7,3046,Captain
832,2795,Captain
993,3244,First Officer
948,1946,Captain
84,4051,First Officer
613,3195,Captain
496,1604,First Officer
174,3126,First Officer
811,450,Captain
797,393,First Officer
943,1699,First Officer
253,2565,First Officer
882,2690,Captain
176,3541,Captain
761,2757,Captain
697,794,First Officer
987,178,First Officer
909,310,First Officer
558,4059,Captain
559,4880,First Officer
438,2295,Captain
883,3050,Captain
976,178,Captain
358,1170,First Officer
219,4333,Captain
169,4542,First Officer
292,1412,Captain
924,1531,Captain
732,1364,First Officer
235,3604,First Officer
203,4571,First Officer
629,3322,Captain
26,2458,Captain
922,1020,Captain
689,2710,Captain
964,1947,First Officer
710,3690,Captain
947,3830,Captain
680,712,Captain
812,2865,Captain
609,3157,Captain
123,3984,First Officer
72,2523,Captain
318,4254,First Officer
232,3302,Captain
338,4167,First Officer
35,3287,Captain
363,3163,First Officer
680,1665,First Officer
422,1495,Captain
669,4343,Captain
998,3928,First Officer
887,4984,Captain
117,3232,Captain
904,2211,First Officer
432,1511,Captain
905,1994,First Officer
973,4034,First Officer
891,2219,Captain
795,2325,First Officer
32,2045,Captain
417,26,First Officer
298,1172,First Officer
559,4899,Captain
745,4772,Captain
879,581,First Officer
144,738,First Officer
501,2139,First Officer
413,2364,Captain
728,671,Captain
370,1503,First Officer
97,1455,Captain
33,2524,First Officer
49,4883,Captain
656,374,Captain
170,1425,First Officer
433,4621,Captain
188,4761,First Officer
203,2131,Captain
651,2408,First Officer
807,243,Captain
889,2713,Captain
643,527,Captain
980,4517,First Officer
8,108,First Officer
113,320,First Officer
672,4203,Captain
239,3731,First Officer
262,2523,First Officer
408,2961,Captain
289,3920,Captain
893,4570,First Officer
401,3310,First Officer
466,2522,Captain
706,1920,Captain
532,3838,First Officer
24,2468,First Officer
234,3265,First Officer
978,1013,First Officer
398,2659,First Officer
602,457,Captain
99,4820,First Officer
314,3180,First Officer
509,2917,First Officer
115,2712,Captain
394,663,Captain
195,3601,First Officer
137,963,Captain
948,354,First Officer
675,4281,First Officer
879,1310,Captain
7,1808,First Officer
721,2795,First Officer
439,1880,Captain
8,4701,First Officer
901,1564,First Officer
391,2591,First Officer
494,4489,First Officer
168,520,Captain
992,3813,Captain
683,2528,Captain
950,3773,Captain
455,4648,Captain
24,4907,First Officer
922,2834,Captain
176,1773,First Officer
613,4580,Captain
982,924,First Officer
496,1408,First Officer
602,2145,Captain
90,354,Captain
779,2414,First Officer
952,3448,Captain
574,3237,Captain
701,1389,Captain
385,4241,Captain
328,716,Captain
424,601,First Officer
354,601,First Officer
374,161,Captain
240,2075,Captain
991,521,Captain
765,3144,Captain
779,4867,First Officer
190,909,Captain
827,290,First Officer
187,3439,First Officer
909,2030,First Officer
533,1441,First Officer
507,4206,Captain
777,1060,Captain
523,4563,First Officer
646,2470,First Officer
186,3271,Captain
541,4320,Captain
982,4760,Captain
853,2980,First Officer
183,359,First Officer
815,4074,First Officer
246,3859,First Officer
715,2440,First Officer
959,4031,Captain
63,3454,First Officer
882,1457,First Officer
843,4791,First Officer
252,2834,First Officer
910,1020,Captain
959,177,Captain
667,4376,Captain
644,3498,First Officer
327,3403,First Officer
601,4461,First Officer
983,995,First Officer
793,1985,First Officer
408,214,First Officer
355,4632,First Officer
27,3871,Captain
457,3232,First Officer
872,3640,Captain
687,2316,Captain
700,1436,First Officer
819,1114,Captain
36,4244,Captain
567,4158,First Officer
249,2416,Captain
821,209,First Officer
361,3182,Captain
506,2185,Captain
911,3385,Captain
529,2579,Captain
254,991,First Officer
375,883,Captain
126,2820,Captain
904,2139,Captain
540,1401,First Officer
754,3975,Captain
852,1839,Captain
835,3060,Captain
842,564,First Officer
504,245,Captain
183,1510,Captain
276,796,First Officer
851,2863,First Officer
710,696,First Officer
213,156,First Officer
370,4587,First Officer
990,3371,First Officer
629,1659,Captain
94,3315,Captain
595,1453,Captain
937,3354,Captain
513,1489,Captain
586,2509,Captain
625,3609,First Officer
458,3094,First Officer
924,4694,Captain
137,4195,First Officer
204,2934,Captain
512,1474,First Officer
570,449,Captain
419,909,First Officer
261,4537,Captain
369,1131,First Officer
52,4944,Captain
12,982,Captain
231,1248,First Officer
4,2169,First Officer
361,4583,First Officer
585,1881,First Officer
525,4704,Captain
141,4010,First Officer
871,1231,Captain
253,4212,First Officer
512,59,First Officer
146,2373,First Officer
856,2381,First Officer
895,2263,First Officer
275,2205,Captain
253,2366,Captain
549,4097,First Officer
94,2110,Captain
783,833,First Officer
596,3699,First Officer
605,4978,First Officer
273,2262,Captain
695,2554,Captain
260,3792,Captain
178,1147,Captain
281,1996,First Officer
637,2874,First Officer
517,4779,First Officer
32,1151,Captain
209,2154,Captain
18,4954,First Officer
359,1724,First Officer
76,1070,First Officer
59,4083,Captain
855,3283,First Officer
233,452,Captain
943,4903,First Officer
576,1322,First Officer
633,1589,First Officer
178,3279,First Officer
576,1949,First Officer
426,367,First Officer
411,2186,Captain
233,2872,Captain
251,2848,First Officer
22,1609,Captain
584,4617,First Officer
25,4736,Captain
428,1180,Captain
511,917,First Officer
464,556,Captain
94,2520,Captain
792,3080,Captain
696,1954,Captain
203,2742,First Officer
398,1207,First Officer
52,2198,First Officer
956,1295,Captain
744,2123,Captain
313,2849,Captain
244,3433,First Officer
50,4306,Captain
311,1749,First Officer
700,3254,Captain
434,4980,First Officer
213,4300,First Officer
